date,stock_id,CashEarningsDistribution,CashExDividendTradingDate
2015-08-23,3008,51,2015-08-17
2016-08-24,3008,63.5,2016-08-18
2017-08-23,3008,63.5,2017-08-17
2018-08-22,3008,72.5,2018-08-16
2019-08-12,3008,68,2019-08-06
2020-08-17,3008,79,2020-08-11
2021-08-16,3008,91.5,2021-08-10
2022-01-18,3008,31.15608212,2022-01-12
2022-03-21,3008,39,2022-03-15
2022-08-25,3008,39.5,2022-08-18
2023-03-24,3008,46,2023-03-16
2023-08-24,3008,26.5,2023-08-17
2011-08-29,2618,1,2011-08-23
2011-09-20,2618,0,
2014-12-17,2618,0,
2016-08-30,2618,0.3,2016-08-24
2017-09-04,2618,0.2,2017-08-29
2018-09-17,2618,0.2,2018-09-11
2018-12-11,2618,0,
2019-09-13,2618,0.49727797,2019-09-05
2020-09-11,2618,0.25,2020-09-03
2021-09-15,2618,0,
2022-08-12,2618,0.5916945,2022-08-04
2023-07-22,2618,0.79907052,2023-07-14
2011-09-28,2609,1.25,2011-09-22
2017-10-06,2609,0,
2022-07-03,2609,20,2022-06-27
2023-07-10,2609,20,2023-07-04
2010-07-11,2887,0,
2010-08-18,2887,0,
2011-08-06,2887,0.23,2011-07-29
2012-07-25,2887,0,
2012-08-12,2887,0.22387184,2012-08-06
2013-08-18,2887,0.22272568,2013-08-12
2014-02-25,2887,0,
2014-08-25,2887,0.42575295,2014-08-19
2015-07-19,2887,0.0508367,2015-07-13
2016-08-30,2887,0.48241645,2016-08-24
2016-11-29,2887,0,
2017-07-17,2887,0,
2017-08-22,2887,0.52514935,2017-08-16
2018-07-10,2887,0,
2018-08-28,2887,0.54190797,2018-08-22
2018-10-16,2887,0,
2019-07-15,2887,0,
2019-08-18,2887,0.5083501,2019-08-12
2020-08-17,2887,0.56551766,2020-08-11
2021-09-13,2887,0.55521108,2021-09-07
2022-07-04,2887,0,
2022-08-30,2887,0.605,2022-08-24
2023-08-01,2887,0.51,2023-07-26
2010-07-23,1301,4,2010-07-15
2011-07-17,1301,6.8,2011-07-11
2012-07-15,1301,4,2012-07-09
2013-07-23,1301,1.2,2013-07-17
2014-07-11,1301,1.9,2014-07-03
2015-07-21,1301,1.7,2015-07-15
2016-07-19,1301,3.6,2016-07-13
2017-07-18,1301,4.6,2017-07-12
2018-07-17,1301,5.7,2018-07-11
2019-07-08,1301,5.8,2019-07-02
2020-07-08,1301,4.4,2020-07-02
2021-08-07,1301,2.4,2021-07-30
2022-07-11,1301,8.2,2022-07-05
2023-07-03,1301,4.2,2023-06-27
2012-06-04,5871,2.3,2012-05-29
2013-07-02,5871,2,2013-06-26
2013-09-02,5871,0,
2014-08-03,5871,2,2014-07-28
2015-08-03,5871,2.8,2015-07-28
2016-08-08,5871,3.1,2016-08-02
2017-08-04,5871,3.4,2017-07-27
2018-08-06,5871,3.8,2018-07-31
2019-08-06,5871,4.2,2019-07-31
2020-06-29,5871,4.6,2020-06-23
2020-08-19,5871,0,
2021-08-11,5871,5,2021-08-05
2022-06-28,5871,6,2022-06-22
2023-08-07,5871,6.4,2023-08-01
2010-07-20,1101,1.8,2010-07-14
2010-12-04,1101,0,
2011-08-01,1101,2,2011-07-26
2012-08-01,1101,1.9,2012-07-26
2013-07-31,1101,1.9,2013-07-25
2014-07-23,1101,2.3,2014-07-17
2015-07-29,1101,2.49,2015-07-23
2016-07-31,1101,1.33,2016-07-25
2017-07-31,1101,1.45,2017-07-25
2018-08-01,1101,1.5,2018-07-26
2018-11-26,1101,0,
2019-08-19,1101,3.30513111,2019-08-13
2020-08-18,1101,2.50081632,2020-08-12
2021-08-18,1101,3.36811984,2021-08-12
2022-07-27,1101,0.99928258,2022-07-21
2023-07-17,1101,0.49971973,2023-07-11
2010-08-20,2301,2.24979687,2010-08-12
2011-08-14,2301,2.87,2011-08-08
2012-08-13,2301,2.27,2012-08-07
2013-08-13,2301,2.34061583,2013-08-07
2014-08-06,2301,2.71195158,2014-07-31
2015-08-16,2301,1.97,2015-08-10
2016-08-30,2301,2.1860079,2016-08-24
2017-08-16,2301,2.92,2017-08-10
2018-08-18,2301,0.41,2018-08-10
2019-07-28,2301,2.92,2019-07-22
2020-07-03,2301,3.2,2020-06-23
2021-07-05,2301,3.4,2021-06-29
2021-08-22,2301,2,2021-08-16
2022-03-26,2301,2.5,2022-03-18
2022-08-22,2301,1.5,2022-08-16
2023-03-23,2301,3,2023-03-16
2023-08-22,2301,2,2023-08-16
2010-07-29,2382,3.68384028,2010-07-22
2012-08-07,2382,3.99812339,2012-08-01
2013-08-07,2382,3.99978622,2013-08-01
2014-08-09,2382,3.8,2014-08-01
2015-08-04,2382,4,2015-07-29
2016-08-07,2382,3.8,2016-08-01
2017-08-06,2382,3.5,2017-07-31
2018-08-05,2382,3.4,2018-07-30
2019-08-04,2382,3.55,2019-07-29
2020-08-09,2382,3.7,2020-08-03
2021-08-01,2382,5.2,2021-07-26
2022-08-07,2382,6.6,2022-08-01
2023-04-22,2382,6,2023-04-14
2011-09-18,4938,1.45,2011-09-09
2013-10-07,4938,1.48117354,2013-10-01
2014-09-14,4938,2.76786462,2014-09-05
2015-08-10,4938,4.03741766,2015-08-04
2016-08-08,4938,5.0297424,2016-08-02
2017-08-07,4938,4.92865082,2017-08-01
2018-08-05,4938,4.00166594,2018-07-30
2019-08-06,4938,3.50089644,2019-07-31
2020-07-06,4938,4.50048404,2020-06-30
2021-07-06,4938,4.48877769,2021-06-30
2022-07-06,4938,5.00137591,2022-06-30
2023-07-10,4938,4.00341673,2023-07-04
2010-08-18,3702,1.999128,2010-08-12
2011-08-20,3702,2.1,2011-08-12
2012-07-31,3702,2.6,2012-07-25
2013-07-31,3702,2.4,2013-07-25
2014-08-15,3702,2.3,2014-08-07
2015-08-12,3702,2.5,2015-08-06
2016-08-07,3702,2.4,2016-08-01
2017-08-19,3702,2.28940817,2017-08-11
2018-07-31,3702,2.4,2018-07-25
2019-08-26,3702,0,
2020-08-08,3702,2.4,2020-07-31
2021-08-17,3702,3.1,2021-08-11
2022-07-25,3702,3.5,2022-07-19
2023-07-31,3702,3.85,2023-07-25
2011-08-15,1309,0.5,2011-08-09
2012-08-15,1309,0.2,2012-08-09
2019-08-02,1309,0.2,2019-07-25
2020-07-29,1309,0.3,2020-07-23
2021-09-10,1309,2,2021-09-02
2022-08-05,1309,2,2022-07-28
2023-08-04,1309,0.5,2023-07-27
2010-07-14,1326,4.5,2010-07-08
2011-07-15,1326,7.5,2011-07-07
2012-07-10,1326,4,2012-07-04
2013-07-28,1326,0.65,2013-07-22
2014-07-12,1326,2.5,2014-07-04
2015-07-27,1326,1.2,2015-07-21
2016-07-12,1326,3.5,2016-07-06
2017-07-12,1326,5.6,2017-07-06
2018-07-11,1326,7,2018-07-05
2019-07-02,1326,6.2,2019-06-26
2020-07-07,1326,3.8,2020-07-01
2021-08-02,1326,2.5,2021-07-27
2022-07-04,1326,4.8,2022-06-28
2023-06-20,1326,0.95,2023-06-14
2010-08-18,2883,0.5,2010-08-12
2011-07-19,2883,0.591818,2011-07-13
2011-08-17,2883,0,
2013-07-31,2883,0.18,2013-07-25
2014-07-16,2883,0.4,2014-07-10
2015-07-11,2883,0.6,2015-07-03
2016-06-09,2883,0.5,2016-06-03
2017-07-11,2883,0.5,2017-07-05
2018-07-18,2883,0.6,2018-07-12
2019-07-10,2883,0.245,2019-07-04
2020-07-12,2883,0.6,2020-07-06
2021-08-16,2883,0.54973791,2021-08-10
2022-07-12,2883,1.00007775,2022-07-06
2010-07-11,3045,5.02783,2010-07-05
2011-07-08,3045,4.1619,2011-06-30
2012-07-15,3045,5.16,2012-07-09
2013-07-14,3045,5.4,2013-07-08
2014-07-05,3045,5.6,2014-06-27
2015-07-04,3045,5.6,2015-06-26
2016-07-06,3045,5.6,2016-06-30
2017-07-17,3045,5.208,2017-07-11
2018-07-16,3045,5,2018-07-10
2019-07-15,3045,5.54897,2019-07-09
2020-07-25,3045,4.183,2020-07-17
2021-08-29,3045,3.38353,2021-08-23
2022-07-16,3045,3.7412,2022-07-08
2023-07-08,3045,3.5036,2023-06-30
2010-08-18,1216,0.8,2010-08-12
2011-08-15,1216,1.4,2011-08-09
2012-08-17,1216,1,2012-08-09
2013-08-16,1216,1.4,2013-08-08
2014-08-15,1216,1.5,2014-08-07
2015-08-14,1216,1.4,2015-08-06
2016-08-12,1216,2,2016-08-04
2017-08-11,1216,2.1,2017-08-03
2018-08-10,1216,5.5,2018-08-02
2019-08-09,1216,2.5,2019-08-01
2020-08-14,1216,2.5,2020-08-06
2021-09-17,1216,2.7,2021-09-09
2022-08-11,1216,2.7,2022-08-04
2023-08-11,1216,3.15,2023-08-03
2010-08-30,2379,3.85,2010-08-24
2011-08-30,2379,2.5,2011-08-24
2012-08-28,2379,2,2012-08-22
2013-08-21,2379,1.2,2013-08-15
2014-09-01,2379,5,2014-08-26
2015-09-08,2379,6,2015-09-02
2016-09-07,2379,3,2016-09-01
2017-09-14,2379,4,2017-09-07
2018-09-12,2379,4.5,2018-09-06
2019-09-11,2379,6,2019-09-05
2020-09-14,2379,9,2020-09-08
2021-09-14,2379,12,2021-09-08
2022-09-18,2379,25,2022-09-12
2023-09-17,2379,26,2023-09-11
2010-08-30,1102,1.8,2010-08-24
2011-08-30,1102,1.9,2011-08-24
2012-08-27,1102,2.3,2012-08-21
2013-09-04,1102,1.7,2013-08-29
2014-09-03,1102,1.8,2014-08-28
2015-09-07,1102,2.2,2015-09-01
2016-09-06,1102,1.1,2016-08-31
2017-09-05,1102,0.9,2017-08-30
2018-09-05,1102,1.2,2018-08-30
2019-07-30,1102,2.8,2019-07-24
2020-07-29,1102,3,2020-07-23
2021-08-11,1102,3.46283787,2021-08-05
2022-08-03,1102,3.39965914,2022-07-28
2023-07-26,1102,2.29958798,2023-07-20
2010-08-17,2892,0.5,2010-08-11
2011-08-06,2892,0.3,2011-07-29
2012-08-18,2892,0.4,2012-08-10
2013-08-10,2892,0.45,2013-08-02
2014-08-09,2892,0.5,2014-08-01
2015-08-08,2892,0.7,2015-07-31
2016-08-13,2892,0.95,2016-08-05
2017-08-12,2892,1.2,2017-08-04
2018-08-18,2892,0.9,2018-08-10
2019-08-17,2892,1,2019-08-09
2020-08-15,2892,1.05,2020-08-07
2021-09-03,2892,0.9,2021-08-26
2022-08-12,2892,1,2022-08-04
2023-08-19,2892,0.8,2023-08-11
2010-08-27,2884,0.1988502,2010-08-19
2011-08-23,2884,0,
2011-09-02,2884,0.2,2011-08-25
2012-08-24,2884,0.2,2012-08-16
2013-08-23,2884,0.3,2013-08-15
2014-04-26,2884,0,
2014-08-29,2884,0.27642623,2014-08-21
2015-08-07,2884,0.4346757,2015-07-30
2016-08-05,2884,0.43,2016-07-28
2017-04-22,2884,0,
2017-08-15,2884,0.49080461,2017-08-09
2018-08-03,2884,0.61258403,2018-07-26
2019-08-02,2884,0.70998595,2019-07-25
2020-08-03,2884,0.79106382,2020-07-28
2021-09-06,2884,0.61,2021-08-31
2022-08-04,2884,0.67,2022-07-28
2023-04-15,2884,0,
2023-08-03,2884,0.18938647,2023-07-27
2010-08-17,2886,1,2010-08-11
2011-08-29,2886,0.9,2011-08-23
2012-08-14,2886,0.85,2012-08-08
2013-08-19,2886,1.1,2013-08-13
2013-11-04,2886,0,
2014-08-19,2886,1.11,2014-08-13
2015-08-19,2886,1.4,2015-08-13
2015-11-08,2886,0,
2016-08-21,2886,1.5,2016-08-15
2017-08-16,2886,1.42,2017-08-10
2018-08-15,2886,1.5,2018-08-09
2019-08-17,2886,1.7,2019-08-09
2020-08-19,2886,1.7,2020-08-13
2021-08-20,2886,1.58,2021-08-12
2022-08-19,2886,1.4,2022-08-11
2023-08-18,2886,1.24,2023-08-10
2023-12-16,2886,0,
2010-07-12,2882,0.5,2010-07-06
2010-08-10,2882,0,
2011-07-04,2882,0.6,2011-06-28
2011-08-05,2882,0,
2012-07-09,2882,0.5,2012-07-03
2012-08-14,2882,0,
2013-07-27,2882,0.7,2013-07-19
2013-11-08,2882,0,
2014-06-30,2882,1.5,2014-06-24
2014-08-04,2882,0,
2015-07-07,2882,2,2015-07-01
2016-07-03,2882,2,2016-06-27
2016-11-15,2882,0,
2017-07-09,2882,2,2017-07-03
2018-06-16,2882,0,
2018-07-02,2882,2.5,2018-06-26
2019-07-07,2882,1.2,2019-07-01
2019-10-20,2882,0,
2020-07-07,2882,2,2020-07-01
2021-08-01,2882,2.5,2021-07-26
2022-07-10,2882,3.5,2022-07-04
2022-12-11,2882,0,
2023-07-04,2882,0,2023-06-28
2010-08-31,2354,0.8,2010-08-25
2011-08-16,2354,1,2011-08-10
2012-08-27,2354,1,2012-08-21
2013-09-01,2354,1,2013-08-26
2014-09-03,2354,1,2014-08-28
